Project;File_Path;SATD_Comment;Commit_Removal;Is_Conditional_Change_Related_To_SATD;Category
Camel;components/camel-netty-http/src/main/java/org/apache/camel/component/netty/http/handlers/HttpServerMultiplexChannelHandler.java;// TODO: support matchOnUriPrefix;cf1273af032e28b187a99a9f525fc1db7eff461c;NO;
Camel;camel-spring/src/main/java/org/apache/camel/spring/util/BeanInfo.java;// TODO allow annotations to be used to create expressions?;d1f78307b43f6ccb2858073330d13eca06ac71c7;YES;MODIFY CONTROL LOGIC
Camel;camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java;// TODO: we should re-create route defs on start, people should use suspend/resume for hot restart;d3711affa954e469d295504ae7f1d4af3af7f369;YES;REMOVE PRE_CONDITION
Camel;components/camel-servlet/src/main/java/org/apache/camel/component/servlet/ServletComponent.java;// TODO we need to remove the Ref in Camel 3.0;df701cc3776833c98a3e2b53f86dfd8f01eabe4b;YES;REMOVE CODE
Camel;components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpComponent.java;// TODO cmueller: remove the "httpBindingRef" look up in Camel 3.0;df701cc3776833c98a3e2b53f86dfd8f01eabe4b;YES;REMOVE CODE
Camel;components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpComponent.java;// TODO cmueller: remove the "httpContextRef" look up in Camel 3.0;df701cc3776833c98a3e2b53f86dfd8f01eabe4b;YES;REMOVE CODE
Camel;components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpComponent.java;// TODO cmueller: remove the "sslContextParametersRef" look up in Camel 3.0;df701cc3776833c98a3e2b53f86dfd8f01eabe4b;YES;REMOVE CODE
Gerrit;appjar/src/main/java/com/google/gerrit/server/LoginServlet.java;// TODO Should be in init so we can cache.;72da046d96b5e205b058efcdeae984791474eccc;YES;REMOVE CODE
Gerrit;gerrit-gwtui/src/main/java/com/google/gerrit/client/diff/CodeMirrorDemo.java;// Ugly workaround because CodeMirror never hides lines completely.;8add5963332ce48b1654a291d7899b966d215c32;NO;
Gerrit;gerrit-server/src/main/java/com/google/gerrit/server/workflow/FunctionState.java;// TODO: Support arbitrary labels;8e5de82e56455606c851ecf8f828fe0fb60c32b0;NO;
Gerrit;appjar/src/main/java/com/google/gerrit/git/MergeOp.java;// TODO Don't write this message on every attempt.;ffc425303de1841092a4356b07d341a43da8b368;YES;ADD CONTROL LOGIC
Gerrit;gerrit-gwtui/src/main/java/net/codemirror/lib/Vim.java;// TODO: Better custom keybindings, remove temporary navigation hacks.;04303d53df88ad2e4174ff11b2b6aa91ad8e3e37;YES;MODIFY CONTROL LOGIC
Gerrit;appjar/src/main/java/com/google/gerrit/server/ssh/SshUtil.java;// TODO log accounts with duplicate emails;19dead446843ea4b2b028f275783660c365a0ca0;YES;MODIFY CONTROL LOGIC
