Project;File_Path;SATD_Comment;Commit_Removal;Change_Type
Camel;camel-jpa/src/main/java/org/apache/camel/component/jpa/JpaComponent.java;/*      EntityManagerFactory emf = getEntityManagerFactory(), JpaTransactionManager transactionManager = new JpaTransactionManager(emf), transactionManager.afterPropertiesSet(), final TransactionTemplate tranasctionTemplate = new TransactionTemplate(transactionManager), tranasctionTemplate.afterPropertiesSet(), // lets auto-default to a JpaTemplate which implicitly creates a transaction // TODO surely there's a cleaner way to get the JpaTemplate to create a transaction if one is not present?? return new JpaTemplate(emf) { @Override public Object execute(final JpaCallback final boolean exposeNativeEntityManager) throws DataAccessException {action return tranasctionTemplate.execute(new TransactionCallback() { public Object doInTransaction(TransactionStatus status) { return doExecute(action exposeNativeEntityManager), }}), } public Object doExecute(final JpaCallback actionfinal boolean exposeNativeEntityManager) throws DataAccessException {return super.execute(action exposeNativeEntityManager), }},*/";1776be93767f8fb3f5a2e87b9b1b9b1ffbe8b918;Method Removal
Camel;components/camel-swagger-java/src/main/java/org/apache/camel/swagger/RestSwaggerReader.java;// TODO: like response object with type refer to model;1817a41ea9165453bd8904498a4ed5c2a20e81a0;Method Changed
Camel;components/camel-spark/src/main/java/org/apache/camel/component/spark/CamelSparkRoute.java;// TODO: how to handle exchange failures;183bbef21c8b4db6b1b0f83052df395c7adc8537;Method Changed
Camel;components/camel-saxon/src/main/java/org/apache/camel/component/xquery/XQueryBuilder.java;// TODO: These causes problems if we null them in concurrency environments //staticQueryContext = null, //configuration = null,;185b32d97b7ce3cc75b82db2bf336e22327c3492;Method Changed
Camel;examples/camel-example-spark-tomcat/src/main/java/org/apache/camel/example/spark/MySparkRouteBuilder.java;// this is a very simple Camel route, but we can do more routing // as SparkRouteBuilder extends the regular RouteBuilder from camel-core // which means we can do any kind of Camel Java DSL routing here;1a31566816418d4b1e574a0533905a27aad7f82d;Method Changed
Camel;tests/camel-itest-osgi/src/test/java/org/apache/camel/itest/osgi/management/ManagedCamelContextTest.java;// TODO access MBeanServer with OSGi;1a7fcca8cc49b47d0aa211e1a297adaf7f5e760b;Class Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveChangesIntegrationTest.java;// TODO provide parameter values for get;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Changed
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveCommentsIntegrationTest.java;// TODO provide parameter values for delete;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DrivePermissionsIntegrationTest.java;// TODO provide parameter values for delete;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DrivePropertiesIntegrationTest.java;// TODO provide parameter values for delete;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveRepliesIntegrationTest.java;// TODO provide parameter values for delete;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveRevisionsIntegrationTest.java;// TODO provide parameter values for delete;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveCommentsIntegrationTest.java;// TODO provide parameter values for get;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DrivePermissionsIntegrationTest.java;// TODO provide parameter values for get;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DrivePropertiesIntegrationTest.java;// TODO provide parameter values for get;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveRevisionsIntegrationTest.java;// TODO provide parameter values for get;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveRepliesIntegrationTest.java;// TODO provide parameter values for get;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveChangesIntegrationTest.java;// TODO provide parameter values for watch;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveCommentsIntegrationTest.java;// TODO provide parameter values for insert;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DrivePermissionsIntegrationTest.java;// TODO provide parameter values for getIdForEmail;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DrivePropertiesIntegrationTest.java;// TODO provide parameter values for insert;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DriveRepliesIntegrationTest.java;// TODO provide parameter values for insert;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
Camel;components/camel-google-drive/src/test/java/org/apache/camel/component/google/drive/DrivePermissionsIntegrationTest.java;// TODO provide parameter values for insert;1acfe6e75143fa66320db1fd2159f7a4fd008b94;Method Removal
